protein_id,name,ex_max,em_max,qy,stokes_shift,ext_coeff,brightness,chrom_found,chrom_position,chrom_phi_tyr,chrom_psi_tyr,chrom_chi1_tyr,chrom_ring_planarity,chrom_plddt_mean,chrom_plddt_min,env_n_neighbors,env_n_hydrophobic,env_n_polar,env_n_charged_pos,env_n_charged_neg,env_n_aromatic,env_ratio_hydrophobic,env_ratio_polar,env_net_charge,env_plddt_mean,glob_n_residues,glob_n_atoms,glob_radius_gyration,glob_extent_x,glob_extent_y,glob_extent_z,glob_plddt_mean,glob_plddt_std,glob_plddt_min,glob_frac_plddt_70,glob_frac_plddt_90,seq_freq_A,seq_freq_C,seq_freq_D,seq_freq_E,seq_freq_F,seq_freq_G,seq_freq_H,seq_freq_I,seq_freq_K,seq_freq_L,seq_freq_M,seq_freq_N,seq_freq_P,seq_freq_Q,seq_freq_R,seq_freq_S,seq_freq_T,seq_freq_V,seq_freq_W,seq_freq_Y,seq_frac_hydrophobic,seq_frac_polar,seq_frac_aromatic,seq_length,seq_gravy
gfp-151pytyrcu,GFP-151pyTyrCu,375,510,,135,,,1,65.0,87.54582298593368,2.1929015519818105,75.58444555996815,0.00030555941914517235,84.58666666666666,77.88,7.0,3.0,2.0,1.0,1.0,1.0,0.42857142857142855,0.2857142857142857,0.0,95.75142857142858,238,1862,17.64088585897336,48.61,37.172000000000004,65.04599999999999,94.24508403361344,10.662876649306064,36.97,0.957983193277311,0.9159663865546218,0.06722689075630252,0.008403361344537815,0.06722689075630252,0.0546218487394958,0.05042016806722689,0.09243697478991597,0.04201680672268908,0.05042016806722689,0.08403361344537816,0.07563025210084033,0.02100840336134454,0.0546218487394958,0.04201680672268908,0.029411764705882353,0.025210084033613446,0.05042016806722689,0.06722689075630252,0.06722689075630252,0.004201680672268907,0.046218487394957986,0.37815126050420167,0.25630252100840334,0.14285714285714285,238,-0.43193277310924405
gfp-tyr151pyz,GFP-Tyr151pyz,397,508,,111,,,1,65.0,89.79940875898485,3.090601976397306,75.99649693032642,0.0004487077771734378,89.14999999999999,87.38,6.0,3.0,2.0,1.0,0.0,1.0,0.5,0.3333333333333333,1.0,96.50999999999999,238,1883,17.65424626810536,53.187,46.54600000000001,51.797,95.12831932773109,8.536192528851867,45.09,0.9621848739495799,0.9285714285714286,0.04201680672268908,0.008403361344537815,0.07563025210084033,0.06302521008403361,0.05042016806722689,0.09243697478991597,0.04201680672268908,0.05042016806722689,0.08403361344537816,0.07983193277310924,0.02100840336134454,0.0546218487394958,0.04201680672268908,0.03361344537815126,0.025210084033613446,0.05042016806722689,0.06722689075630252,0.06722689075630252,0.004201680672268907,0.046218487394957986,0.35714285714285715,0.2605042016806723,0.14285714285714285,238,-0.5348739495798323
gfpmut2,GFPmut2,485,508,0.73,23,53900.0,39.35,1,38.0,115.55800159332846,1.4586121695289025,58.270051530156735,0.00023638863624237348,95.97666666666667,95.06000000000002,3.0,1.0,0.0,1.0,1.0,0.0,0.3333333333333333,0.0,0.0,97.95666666666666,238,1894,17.658725286663778,51.891,44.57899999999999,61.843,95.30067226890759,8.795108956963594,43.97,0.9621848739495799,0.9327731092436975,0.04201680672268908,0.008403361344537815,0.07563025210084033,0.06722689075630252,0.0546218487394958,0.09243697478991597,0.04201680672268908,0.05042016806722689,0.08403361344537816,0.08403361344537816,0.025210084033613446,0.0546218487394958,0.04201680672268908,0.03361344537815126,0.025210084033613446,0.037815126050420166,0.06302521008403361,0.06722689075630252,0.004201680672268907,0.046218487394957986,0.3697478991596639,0.24369747899159663,0.14705882352941177,238,-0.500840336134454
gfpmut3,GFPmut3,506,513,0.39,7,58191.0,22.69,1,38.0,116.03167708066431,3.0553154250334336,58.07736081695617,0.0012720634691801619,95.5,94.5,4.0,1.0,0.0,2.0,1.0,0.0,0.25,0.0,1.0,97.515,238,1892,17.53508183512204,52.765,47.375,60.688,94.3890756302521,10.380140216309531,39.59,0.9537815126050421,0.9159663865546218,0.037815126050420166,0.008403361344537815,0.07563025210084033,0.06722689075630252,0.0546218487394958,0.09663865546218488,0.04201680672268908,0.05042016806722689,0.08403361344537816,0.07983193277310924,0.025210084033613446,0.0546218487394958,0.04201680672268908,0.03361344537815126,0.025210084033613446,0.037815126050420166,0.06302521008403361,0.07142857142857142,0.004201680672268907,0.046218487394957986,0.36554621848739494,0.24369747899159663,0.14705882352941177,238,-0.5084033613445381
gfpxm16,GFPxm16,485,504,0.74,19,,,1,65.0,99.64799758288895,-7.860943080443048,74.47759597294325,0.00040216900121239484,80.10333333333334,72.88,6.0,2.0,2.0,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0,93.03333333333335,238,1900,17.42124277146485,56.968999999999994,40.641,51.5,93.07231092436975,9.274917161738296,47.69,0.957983193277311,0.8739495798319328,0.029411764705882353,0.012605042016806723,0.06722689075630252,0.07563025210084033,0.06302521008403361,0.1092436974789916,0.046218487394957986,0.06302521008403361,0.07563025210084033,0.07563025210084033,0.03361344537815126,0.0546218487394958,0.04201680672268908,0.025210084033613446,0.03361344537815126,0.029411764705882353,0.058823529411764705,0.058823529411764705,0.004201680672268907,0.04201680672268908,0.3697478991596639,0.22268907563025211,0.15546218487394958,238,-0.4647058823529416
gfpxm181uv,GFPxm181uv,398,514,,116,,,1,65.0,91.20758289434632,-0.0512206683268968,77.85259850993728,0.0008623702950675749,92.12666666666667,89.38,6.0,3.0,2.0,1.0,0.0,0.0,0.5,0.3333333333333333,1.0,97.06166666666667,238,1902,17.68583932718025,53.172,42.516000000000005,62.344,94.3598319327731,9.704045330174047,43.88,0.9537815126050421,0.9117647058823529,0.029411764705882353,0.012605042016806723,0.06722689075630252,0.07563025210084033,0.058823529411764705,0.10504201680672269,0.05042016806722689,0.06302521008403361,0.07563025210084033,0.07983193277310924,0.03361344537815126,0.0546218487394958,0.04201680672268908,0.025210084033613446,0.03361344537815126,0.03361344537815126,0.0546218487394958,0.058823529411764705,0.004201680672268907,0.04201680672268908,0.3697478991596639,0.22268907563025211,0.15546218487394958,238,-0.4726890756302525
gfpxm18uv,GFPxm18uv,400,513,,113,,,1,65.0,98.7778369279973,-1.766636095525632,76.67722564892011,0.0002736990185080268,89.73,86.12,5.0,2.0,2.0,1.0,0.0,0.0,0.4,0.4,1.0,96.286,238,1903,17.667032181947395,53.125,42.391,61.36,94.33037815126049,9.750698330080185,43.34,0.957983193277311,0.9159663865546218,0.029411764705882353,0.012605042016806723,0.06722689075630252,0.07563025210084033,0.06302521008403361,0.1092436974789916,0.05042016806722689,0.06302521008403361,0.07563025210084033,0.07563025210084033,0.03361344537815126,0.0546218487394958,0.04201680672268908,0.025210084033613446,0.03361344537815126,0.029411764705882353,0.0546218487394958,0.058823529411764705,0.004201680672268907,0.04201680672268908,0.3697478991596639,0.2184873949579832,0.15966386554621848,238,-0.47521008403361387
gfpxm18,GFPxm18,472,502,0.96,30,,,1,65.0,93.19166788508957,0.6680573955627992,82.13543298867035,0.0008208612475284321,90.83333333333333,87.88,5.0,2.0,2.0,1.0,0.0,0.0,0.4,0.4,1.0,96.338,238,1901,17.493743759566012,52.483999999999995,41.656,59.36,94.28689075630251,9.772776262599185,43.34,0.957983193277311,0.9159663865546218,0.03361344537815126,0.012605042016806723,0.06722689075630252,0.07563025210084033,0.06302521008403361,0.10504201680672269,0.046218487394957986,0.06302521008403361,0.07563025210084033,0.07563025210084033,0.03361344537815126,0.0546218487394958,0.04201680672268908,0.025210084033613446,0.03361344537815126,0.029411764705882353,0.058823529411764705,0.058823529411764705,0.004201680672268907,0.04201680672268908,0.3739495798319328,0.22268907563025211,0.15546218487394958,238,-0.45546218487394996
gfpxm19,GFPxm19,475,502,0.7,27,,,1,65.0,91.75649231919385,-7.80666956817029,80.46856476376078,0.000452912864926741,91.81,89.62,6.0,4.0,1.0,1.0,0.0,0.0,0.6666666666666666,0.16666666666666666,1.0,96.84499999999998,238,1901,17.686848488869423,52.61,41.968,61.406,94.28268907563024,10.054832376196536,41.41,0.957983193277311,0.9117647058823529,0.029411764705882353,0.012605042016806723,0.06722689075630252,0.07563025210084033,0.06302521008403361,0.10504201680672269,0.046218487394957986,0.06302521008403361,0.07563025210084033,0.07983193277310924,0.03361344537815126,0.0546218487394958,0.04201680672268908,0.02100840336134454,0.03361344537815126,0.03361344537815126,0.058823529411764705,0.058823529411764705,0.004201680672268907,0.04201680672268908,0.3739495798319328,0.22268907563025211,0.15546218487394958,238,-0.43571428571428616
ggvt,GGvT,476,500,0.14,24,91000.0,12.74,1,67.0,39.27776141216002,19.867483238845008,170.10786151290955,0.0004987591213398311,74.32333333333334,58.78,5.0,1.0,2.0,1.0,1.0,0.0,0.2,0.4,0.0,89.3,478,3856,24.0286669464259,72.969,61.75,71.812,90.41202928870293,15.938819229613234,28.48,0.9121338912133892,0.8640167364016736,0.029288702928870293,0.0,0.058577405857740586,0.09205020920502092,0.04184100418410042,0.10460251046025104,0.029288702928870293,0.03347280334728033,0.09205020920502092,0.0794979079497908,0.0502092050209205,0.016736401673640166,0.056485355648535567,0.029288702928870293,0.04184100418410042,0.0502092050209205,0.056485355648535567,0.06276150627615062,0.012552301255230125,0.06276150627615062,0.36610878661087864,0.21548117154811716,0.14644351464435146,478,-0.6525104602510459
grvt,GRvT,557,583,0.97,26,71000.0,68.87,1,67.0,77.68909544826458,5.639348912045194,159.23075879087733,0.0012828221919870806,72.11666666666666,57.16,4.0,1.0,2.0,0.0,1.0,0.0,0.25,0.5,-1.0,89.315,472,3800,23.735457359120705,67.422,59.86,72.781,91.13527542372881,15.168678000967097,27.53,0.9279661016949152,0.8834745762711864,0.029661016949152543,0.0,0.05508474576271186,0.09110169491525423,0.04449152542372881,0.10805084745762712,0.029661016949152543,0.038135593220338986,0.09322033898305085,0.07203389830508475,0.046610169491525424,0.01694915254237288,0.05508474576271186,0.03177966101694915,0.04025423728813559,0.05084745762711865,0.059322033898305086,0.0635593220338983,0.012711864406779662,0.0614406779661017,0.3622881355932203,0.22033898305084745,0.1483050847457627,472,-0.6478813559322031
h2-3,h2-3,506,516,0.89,10,130000.0,115.7,1,66.0,58.524976437035676,28.13849493665397,-176.72263795890254,0.0006678246855052717,74.81333333333333,66.44,5.0,3.0,2.0,0.0,0.0,1.0,0.6,0.4,0.0,88.99800000000002,234,1866,17.576840672728945,54.203,53.625,51.188,91.97410256410258,9.863730258982107,41.97,0.9444444444444444,0.8076923076923077,0.029914529914529916,0.008547008547008548,0.05982905982905983,0.0641025641025641,0.05555555555555555,0.09829059829059829,0.021367521367521368,0.03418803418803419,0.10256410256410256,0.06837606837606838,0.03418803418803419,0.05555555555555555,0.05555555555555555,0.03418803418803419,0.029914529914529916,0.038461538461538464,0.07264957264957266,0.07692307692307693,0.008547008547008548,0.05128205128205128,0.36324786324786323,0.2606837606837607,0.13675213675213677,234,-0.6025641025641028
h9,H9,399,511,0.6,112,20000.0,12.0,1,65.0,87.74080395631653,3.5984690714403684,75.62094281764021,0.0003561955043005085,89.27333333333333,86.38,6.0,3.0,2.0,1.0,0.0,1.0,0.5,0.3333333333333333,1.0,96.53166666666665,238,1901,17.569150299653604,51.859,48.203,57.563,94.90978991596639,8.951010761547755,44.59,0.957983193277311,0.9243697478991597,0.03361344537815126,0.008403361344537815,0.07563025210084033,0.06722689075630252,0.058823529411764705,0.09243697478991597,0.04201680672268908,0.0546218487394958,0.08403361344537816,0.07983193277310924,0.025210084033613446,0.0546218487394958,0.04201680672268908,0.03361344537815126,0.025210084033613446,0.04201680672268908,0.058823529411764705,0.07142857142857142,0.004201680672268907,0.046218487394957986,0.3697478991596639,0.24369747899159663,0.15126050420168066,238,-0.4840336134453783
hcred-tandem,HcRed-Tandem,590,637,0.04,47,160000.0,6.4,1,67.0,40.90219167102695,25.63040285219222,178.53005875168708,0.0006093805208590327,77.02,59.31,5.0,1.0,1.0,2.0,1.0,0.0,0.2,0.2,1.0,94.788,231,1819,17.627024852749855,57.484,46.54600000000001,53.359,93.29943722943722,11.31843962040992,29.78,0.948051948051948,0.8744588744588745,0.06060606060606061,0.025974025974025976,0.04329004329004329,0.07792207792207792,0.05627705627705628,0.09956709956709957,0.03896103896103896,0.03463203463203463,0.06493506493506493,0.06926406926406926,0.03896103896103896,0.03463203463203463,0.05627705627705628,0.017316017316017316,0.047619047619047616,0.05194805194805195,0.06926406926406926,0.05627705627705628,0.008658008658008658,0.047619047619047616,0.38095238095238093,0.24675324675324675,0.15151515151515152,231,-0.4268398268398271
hcred1-blue,HcRed1-Blue,408,455,,47,,,1,63.0,31.278471163878766,18.136538125880875,178.7609426484396,0.0001633309782279496,80.56,66.81,5.0,2.0,2.0,0.0,1.0,0.0,0.4,0.4,-1.0,93.986,227,1800,17.161825848698637,58.328,37.406,55.797,94.56484581497799,7.158580775595144,40.59,0.9779735682819384,0.9030837004405287,0.07048458149779736,0.02643171806167401,0.04405286343612335,0.07488986784140969,0.05286343612334802,0.09251101321585903,0.04405286343612335,0.03524229074889868,0.07048458149779736,0.06607929515418502,0.039647577092511016,0.030837004405286344,0.05286343612334802,0.01762114537444934,0.04405286343612335,0.04405286343612335,0.07048458149779736,0.05726872246696035,0.013215859030837005,0.05286343612334802,0.3876651982378855,0.2422907488986784,0.16299559471365638,227,-0.4202643171806169
hcred7,HcRed7,592,645,0.08,53,75000.0,6.0,1,63.0,47.94572027912303,29.03240569545928,-175.55182523533068,0.00022305082175236255,88.21,81.19,6.0,2.0,3.0,0.0,1.0,0.0,0.3333333333333333,0.5,-1.0,96.16666666666667,227,1802,17.173487830878138,54.078,46.141000000000005,55.453,94.83343612334802,7.064121708027947,40.25,0.9823788546255506,0.9162995594713657,0.06167400881057269,0.02643171806167401,0.04405286343612335,0.07929515418502203,0.05726872246696035,0.09251101321585903,0.04405286343612335,0.030837004405286344,0.07048458149779736,0.06607929515418502,0.039647577092511016,0.03524229074889868,0.05286343612334802,0.01762114537444934,0.04405286343612335,0.048458149779735685,0.07048458149779736,0.05726872246696035,0.00881057268722467,0.05286343612334802,0.3744493392070485,0.2511013215859031,0.16299559471365638,227,-0.47400881057268734
hcred,HcRed,592,645,0.015,53,20000.0,0.3,1,63.0,41.70419367067312,27.28678736784544,-171.27793917364318,0.00012264299905054586,83.45666666666666,70.56,6.0,2.0,3.0,0.0,1.0,0.0,0.3333333333333333,0.5,-1.0,95.28333333333335,227,1800,17.21037337441178,55.672,39.922,56.532,94.34154185022025,7.674934648045727,40.53,0.973568281938326,0.8898678414096917,0.06167400881057269,0.02643171806167401,0.04405286343612335,0.07929515418502203,0.05726872246696035,0.09251101321585903,0.04405286343612335,0.03524229074889868,0.06607929515418502,0.06607929515418502,0.039647577092511016,0.03524229074889868,0.05286343612334802,0.01762114537444934,0.048458149779735685,0.048458149779735685,0.07048458149779736,0.05726872246696035,0.00881057268722467,0.048458149779735685,0.3788546255506608,0.24669603524229075,0.15859030837004406,227,-0.4511013215859034
ilov,iLov,447,497,0.44,50,,,0,,,,,,,,,,,,,,,,,,125,1007,14.51624840025108,51.703,37.805,44.406,87.98975999999999,20.113716611864653,29.66,0.84,0.808,0.032,0.0,0.112,0.064,0.048,0.088,0.016,0.072,0.064,0.088,0.008,0.04,0.04,0.072,0.064,0.048,0.056,0.048,0.008,0.032,0.344,0.248,0.104,125,-0.7552000000000002
iq-memerald,iq-mEmerald,482,509,0.67,27,50400.0,33.77,1,39.0,116.22531834468937,2.2642069509213325,58.461785409954146,0.0007414074089529757,95.43666666666667,94.5,4.0,1.0,0.0,2.0,1.0,0.0,0.25,0.0,1.0,97.3775,239,1909,17.608504485306664,48.25,50.233999999999995,50.61,94.24832635983263,11.324900866043235,35.5,0.9497907949790795,0.9163179916317992,0.03347280334728033,0.008368200836820083,0.07531380753138076,0.06694560669456066,0.0502092050209205,0.09205020920502092,0.0502092050209205,0.04602510460251046,0.09205020920502092,0.08786610878661087,0.02092050209205021,0.0502092050209205,0.04184100418410042,0.029288702928870293,0.02510460251046025,0.029288702928870293,0.07531380753138076,0.07531380753138076,0.0041841004184100415,0.04602510460251046,0.3598326359832636,0.2384937238493724,0.1506276150627615,239,-0.5334728033472804
irfp670,iRFP670,643,670,0.11,27,114000.0,12.54,0,,,,,,,,,,,,,,,,,,311,2422,19.591802228471145,59.969,51.094,56.485,90.65379421221866,11.347933750024733,30.67,0.9421221864951769,0.7717041800643086,0.1189710610932476,0.01929260450160772,0.05466237942122187,0.05787781350482315,0.04501607717041801,0.06430868167202572,0.04501607717041801,0.06752411575562701,0.01929260450160772,0.10610932475884244,0.028938906752411574,0.01607717041800643,0.04823151125401929,0.03536977491961415,0.09003215434083602,0.07717041800643087,0.03858520900321544,0.04180064308681672,0.006430868167202572,0.01929260450160772,0.4630225080385852,0.2057877813504823,0.1157556270096463,311,-0.09485530546623808
irfp682,iRFP682,663,682,0.11,19,90000.0,9.9,0,,,,,,,,,,,,,,,,,,316,2427,20.407616734672292,51.922,63.078,59.547,89.11825949367089,14.299979811298655,28.67,0.9177215189873418,0.7341772151898734,0.12025316455696203,0.0189873417721519,0.056962025316455694,0.060126582278481014,0.03481012658227848,0.06962025316455696,0.03164556962025317,0.07911392405063292,0.00949367088607595,0.0949367088607595,0.02531645569620253,0.022151898734177215,0.06645569620253164,0.03481012658227848,0.07911392405063292,0.05063291139240506,0.04746835443037975,0.06962025316455696,0.00949367088607595,0.0189873417721519,0.5,0.1930379746835443,0.0949367088607595,316,0.07405063291139244
irfp702,iRFP702,673,702,0.08,29,93000.0,7.44,0,,,,,,,,,,,,,,,,,,311,2424,19.59817862096978,62.422,62.015,55.922,90.6152733118971,11.423407591540759,31.09,0.9421221864951769,0.7556270096463023,0.1189710610932476,0.01607717041800643,0.05466237942122187,0.05787781350482315,0.04501607717041801,0.06430868167202572,0.04501607717041801,0.06752411575562701,0.022508038585209004,0.10610932475884244,0.02572347266881029,0.01607717041800643,0.04823151125401929,0.03536977491961415,0.09003215434083602,0.07717041800643087,0.03858520900321544,0.04501607717041801,0.006430868167202572,0.01929260450160772,0.4630225080385852,0.20257234726688103,0.1157556270096463,311,-0.10803858520900333
irfp713,iRFP713,690,713,0.06,23,105000.0,6.3,0,,,,,,,,,,,,,,,,,,316,2432,20.4503135017907,63.047,64.0,51.672,89.19405063291138,14.325899447670924,29.25,0.9177215189873418,0.740506329113924,0.11708860759493671,0.015822784810126583,0.056962025316455694,0.06329113924050633,0.03481012658227848,0.06962025316455696,0.03164556962025317,0.07911392405063292,0.00949367088607595,0.0949367088607595,0.02531645569620253,0.022151898734177215,0.06645569620253164,0.03481012658227848,0.07911392405063292,0.05063291139240506,0.05063291139240506,0.06962025316455696,0.00949367088607595,0.0189873417721519,0.49683544303797467,0.1930379746835443,0.0949367088607595,316,0.047151898734177224
irfp720,iRFP720,702,720,0.06,18,96000.0,5.76,0,,,,,,,,,,,,,,,,,,316,2435,20.40214881361266,51.578,63.781,60.156000000000006,88.98569620253164,14.075447802624824,28.970000000000002,0.9113924050632911,0.7183544303797469,0.11708860759493671,0.015822784810126583,0.056962025316455694,0.060126582278481014,0.0379746835443038,0.06962025316455696,0.03164556962025317,0.08227848101265822,0.00949367088607595,0.0949367088607595,0.02531645569620253,0.02531645569620253,0.06645569620253164,0.03481012658227848,0.07911392405063292,0.05379746835443038,0.04746835443037975,0.06329113924050633,0.00949367088607595,0.0189873417721519,0.49683544303797467,0.1962025316455696,0.0981012658227848,316,0.043354430379746824
irisfp-m159a,IrisFP-M159A,484,513,0.18,29,62800.0,11.3,1,62.0,22.673737994325176,16.92585891278294,-177.9943653823135,0.00021758206861328554,84.83333333333333,77.69,6.0,2.0,3.0,0.0,1.0,1.0,0.3333333333333333,0.5,-1.0,94.22833333333334,226,1806,17.036598891409305,60.953,35.719,51.593,95.08730088495575,8.966833295648254,35.34000000000001,0.9646017699115044,0.9336283185840708,0.05752212389380531,0.01327433628318584,0.0752212389380531,0.061946902654867256,0.05309734513274336,0.09292035398230089,0.048672566371681415,0.048672566371681415,0.084070796460177,0.06637168141592921,0.030973451327433628,0.048672566371681415,0.048672566371681415,0.017699115044247787,0.04424778761061947,0.03982300884955752,0.05309734513274336,0.05752212389380531,0.008849557522123894,0.048672566371681415,0.37168141592920356,0.22123893805309736,0.1592920353982301,226,-0.5933628318584077
irisfp,IrisFP,488,516,0.43,28,52200.0,22.45,1,62.0,43.32315385659926,5.7356363128820185,172.09170537396338,0.0003925355527886325,76.98,66.31,6.0,2.0,3.0,0.0,1.0,1.0,0.3333333333333333,0.5,-1.0,93.05499999999999,226,1809,16.96069518090398,52.172,45.969,54.608999999999995,95.07592920353983,9.147498341431513,31.110000000000003,0.9646017699115044,0.9292035398230089,0.05309734513274336,0.01327433628318584,0.0752212389380531,0.061946902654867256,0.05309734513274336,0.09292035398230089,0.048672566371681415,0.048672566371681415,0.084070796460177,0.06637168141592921,0.035398230088495575,0.048672566371681415,0.048672566371681415,0.017699115044247787,0.04424778761061947,0.03982300884955752,0.05309734513274336,0.05752212389380531,0.008849557522123894,0.048672566371681415,0.37168141592920356,0.22123893805309736,0.1592920353982301,226,-0.5929203539823014
jred,Jred,584,610,0.2,26,44000.0,8.8,1,70.0,37.848274116510325,-40.34392857843679,154.97721062347426,3.761211438326803e-05,78.02,72.25,4.0,0.0,1.0,1.0,2.0,1.0,0.0,0.25,-1.0,95.4075,268,2055,22.755887324764434,63.515,63.422000000000004,86.063,87.54111940298507,19.935570405776037,31.339999999999996,0.832089552238806,0.7985074626865671,0.055970149253731345,0.022388059701492536,0.07835820895522388,0.04477611940298507,0.06716417910447761,0.1044776119402985,0.04477611940298507,0.06343283582089553,0.033582089552238806,0.03731343283582089,0.03731343283582089,0.033582089552238806,0.05970149253731343,0.03731343283582089,0.05223880597014925,0.07835820895522388,0.07462686567164178,0.055970149253731345,0.0037313432835820895,0.014925373134328358,0.3805970149253731,0.26119402985074625,0.13059701492537312,268,-0.3854477611940302
kaede,Kaede,508,518,0.88,10,98800.0,86.94,1,62.0,26.807794691652138,22.72646733397592,-174.1838137082509,0.00019321701756683173,91.16666666666667,87.94,6.0,2.0,3.0,0.0,1.0,1.0,0.3333333333333333,0.5,-1.0,95.65666666666668,225,1809,16.98793219925948,54.703,40.218999999999994,51.313,95.46004444444443,8.152176178326197,39.88,0.9733333333333334,0.9511111111111111,0.04,0.013333333333333334,0.07555555555555556,0.05333333333333334,0.06666666666666667,0.08888888888888889,0.044444444444444446,0.044444444444444446,0.09333333333333334,0.08,0.035555555555555556,0.04,0.05333333333333334,0.022222222222222223,0.035555555555555556,0.04,0.04888888888888889,0.07111111111111111,0.008888888888888889,0.044444444444444446,0.4,0.2088888888888889,0.16444444444444445,225,-0.425777777777778
katushka-9-5,Katushka-9-5,588,635,,47,,,1,66.0,45.73097995285109,30.46707051582502,178.17517999598957,0.0005168215653715776,81.79333333333334,70.5,4.0,1.0,2.0,0.0,1.0,1.0,0.25,0.5,-1.0,93.3775,234,1844,17.723922390265578,59.358999999999995,36.672,63.422000000000004,93.80807692307691,9.6095665996651,34.69,0.9658119658119658,0.8675213675213675,0.042735042735042736,0.017094017094017096,0.042735042735042736,0.07692307692307693,0.05128205128205128,0.09829059829059829,0.03418803418803419,0.038461538461538464,0.08547008547008547,0.07692307692307693,0.04700854700854701,0.038461538461538464,0.04700854700854701,0.03418803418803419,0.02564102564102564,0.0641025641025641,0.07692307692307693,0.04700854700854701,0.008547008547008548,0.04700854700854701,0.358974358974359,0.2777777777777778,0.14102564102564102,234,-0.5042735042735046
katushka2s,Katushka2S,588,633,0.44,45,67000.0,29.48,1,67.0,37.24044315703578,27.042222284203262,179.7261442622519,0.0002031132381469356,87.51666666666667,80.62,5.0,1.0,2.0,1.0,1.0,1.0,0.2,0.4,0.0,95.44800000000001,235,1851,17.84168594164136,59.547,36.766000000000005,66.547,94.30421276595744,9.697338026788303,33.5,0.9617021276595744,0.8893617021276595,0.04680851063829787,0.01702127659574468,0.0425531914893617,0.07234042553191489,0.05106382978723404,0.09787234042553192,0.03404255319148936,0.03829787234042553,0.08085106382978724,0.07659574468085106,0.04680851063829787,0.03829787234042553,0.04680851063829787,0.03404255319148936,0.029787234042553193,0.05531914893617021,0.08085106382978724,0.05531914893617021,0.00851063829787234,0.04680851063829787,0.3702127659574468,0.2723404255319149,0.14042553191489363,235,-0.44255319148936184
katushka,Katushka,588,635,0.34,47,65000.0,22.1,1,63.0,42.069711555967714,30.384155949870777,-178.35862953781833,0.00037403431062142716,86.87333333333333,80.31,5.0,1.0,2.0,1.0,1.0,1.0,0.2,0.4,0.0,95.2,231,1824,17.364641947390037,59.5,36.703,53.516000000000005,94.79783549783548,6.835857621943606,47.81,0.9783549783549783,0.8787878787878788,0.04329004329004329,0.017316017316017316,0.03896103896103896,0.06926406926406926,0.05194805194805195,0.09523809523809523,0.03463203463203463,0.03896103896103896,0.08225108225108226,0.07792207792207792,0.047619047619047616,0.03896103896103896,0.047619047619047616,0.03463203463203463,0.030303030303030304,0.06060606060606061,0.08225108225108226,0.05194805194805195,0.008658008658008658,0.047619047619047616,0.36796536796536794,0.2813852813852814,0.14285714285714285,231,-0.4476190476190477
kcy-g4219-38l,KCY-G4219-38L,464,494,,30,,,1,62.0,54.74975804175882,1.867841858068599,172.70823474721684,0.00013800977636065626,80.91666666666667,72.69,5.0,0.0,2.0,2.0,1.0,0.0,0.0,0.4,1.0,94.562,223,1745,17.21768554541145,50.594,55.922,48.468999999999994,94.12852017937217,9.495563186649624,37.31,0.9596412556053812,0.9103139013452914,0.04484304932735426,0.017937219730941704,0.053811659192825115,0.06726457399103139,0.05829596412556054,0.10762331838565023,0.026905829596412557,0.053811659192825115,0.09865470852017937,0.05829596412556054,0.03587443946188341,0.03139013452914798,0.06278026905829596,0.013452914798206279,0.026905829596412557,0.06726457399103139,0.07174887892376682,0.04484304932735426,0.008968609865470852,0.04932735426008968,0.36771300448430494,0.25112107623318386,0.14349775784753363,223,-0.48340807174887934
kcy-g4219,KCY-G4219,453,486,0.8,33,21100.0,16.88,1,62.0,24.720036052632967,10.77759901010395,178.5478319803447,0.0003219737232466317,83.20666666666666,75.56,5.0,0.0,2.0,2.0,1.0,0.0,0.0,0.4,1.0,93.878,223,1746,17.211003262548783,48.656,58.329,48.875,93.80008968609864,9.480769490209408,35.72,0.9596412556053812,0.8923766816143498,0.04484304932735426,0.017937219730941704,0.053811659192825115,0.06726457399103139,0.05829596412556054,0.10762331838565023,0.03139013452914798,0.053811659192825115,0.09865470852017937,0.053811659192825115,0.03587443946188341,0.03139013452914798,0.06278026905829596,0.013452914798206279,0.03139013452914798,0.06726457399103139,0.07174887892376682,0.04484304932735426,0.008968609865470852,0.04484304932735426,0.3632286995515695,0.24663677130044842,0.14349775784753363,223,-0.5291479820627808
kcy-r1-158a,KCY-R1-158A,459,489,,30,,,1,66.0,35.43604724970244,2.0991742864364364,176.69350072118854,0.0004121730268012209,86.19,80.19,5.0,0.0,2.0,2.0,1.0,0.0,0.0,0.4,1.0,95.728,224,1748,16.923785928723877,49.218999999999994,39.641000000000005,51.172,93.94004464285715,10.394008382999512,32.16,0.9553571428571429,0.8928571428571429,0.044642857142857144,0.013392857142857142,0.05803571428571429,0.06696428571428571,0.05803571428571429,0.11160714285714286,0.026785714285714284,0.05357142857142857,0.09375,0.05357142857142857,0.03571428571428571,0.03125,0.0625,0.013392857142857142,0.026785714285714284,0.06696428571428571,0.07589285714285714,0.049107142857142856,0.008928571428571428,0.049107142857142856,0.36607142857142855,0.25,0.14285714285714285,224,-0.49375000000000063
